mac,termtype,servicecode,svcname,addr,stime,rssi,vtype,vname,ssid,apname,apmac,channel,sec,xpos,ypos,nlong,lati,flags,assid,sid,day,svcode
44-04-44-02-35-A0," ",35021221360001,,,1562139891,-89,null," "," ",671153497001F7A7064E0,00-1F-7A-70-64-E0,null," "," "," ",118.13526,24.71718,null," ",156213909700179397,20190703,0
B0-5A-DA-74-E2-AA," ",35021221360001,,,1562139906,-96,null," "," ",671153497001F7A7064E0,00-1F-7A-70-64-E0,null," "," "," ",118.13526,24.71718,null," ",156213909700181898,20190703,0
26-7E-3E-91-2E-3D," ",35021221360001,,,1562139904,-91,null," "," ",671153497001F7A7064E0,00-1F-7A-70-64-E0,null," "," "," ",118.13526,24.71718,null," ",156213909700182999,20190703,0
DA-A1-19-97-C0-3B," ",35021221360001,,,1562139895,-85,null," "," ",671153497001F7A7064E0,00-1F-7A-70-64-E0,null," "," "," ",118.13526,24.71718,null," ",156213909700183900,20190703,0
06-F6-D5-FF-AC-5E," ",35021221360001,,,1562139938,-89,null," "," ",671153497001F7A7064E0,00-1F-7A-70-64-E0,null," "," "," ",118.13526,24.71718,null," ",156213909700185001,20190703,0
B8-C3-85-5D-3F-88," ",35021221360001,,,1562139909,-89,null," "," ",671153497001F7A7064E0,00-1F-7A-70-64-E0,null," "," "," ",118.13526,24.71718,null," ",156213909700186002,20190703,0
00-08-22-D9-03-FD," ",35021221360001,,,1562139916,-88,null," "," ",671153497001F7A7064E0,00-1F-7A-70-64-E0,null," "," "," ",118.13526,24.71718,null," ",156213909700187003,20190703,0
9E-2C-5B-9B-CF-34," ",35021221360001,,,1562139895,-91,null," "," ",671153497001F7A7064E0,00-1F-7A-70-64-E0,null," "," "," ",118.13526,24.71718,null," ",156213909700188004,20190703,0
9A-D3-48-7D-80-F0," ",35021221360001,,,1562139906,-87,null," "," ",671153497001F7A7064E0,00-1F-7A-70-64-E0,null," "," "," ",118.13526,24.71718,null," ",156213909700189005,20190703,0
DA-A1-19-C9-CB-E6," ",35021221360001,,,1562139905,-93,null," "," ",671153497001F7A7064E0,00-1F-7A-70-64-E0,null," "," "," ",118.13526,24.71718,null," ",156213909700190006,20190703,0
06-52-13-C3-45-EA," ",35021221360001,,,1562139918,-89,null," "," ",671153497001F7A7064E0,00-1F-7A-70-64-E0,null," "," "," ",118.13526,24.71718,null," ",156213909700191007,20190703,0
E2-C3-6F-33-8F-66," ",35021221360001,,,1562139897,-87,null," "," ",671153497001F7A7064E0,00-1F-7A-70-64-E0,null," "," "," ",118.13526,24.71718,null," ",156213909700191908,20190703,0
DA-A1-19-95-91-E2," ",35021221360001,,,1562139905,-93,null," "," ",671153497001F7A7064E0,00-1F-7A-70-64-E0,null," "," "," ",118.13526,24.71718,null," ",156213909700192909,20190703,0
D4-1A-3F-27-A9-97," ",35021221360001,,,1562139931,-87,null," "," ",671153497001F7A7064E0,00-1F-7A-70-64-E0,null," "," "," ",118.13526,24.71718,null," ",156213909700193910,20190703,0
70-D9-23-49-32-D4," ",35021221360001,,,1562139910,-87,null," "," ",671153497001F7A7064E0,00-1F-7A-70-64-E0,null," "," "," ",118.13526,24.71718,null," ",156213909700194911,20190703,0
BE-E9-4C-A9-EA-91," ",35021221360001,,,1562139902,-94,null," "," ",671153497001F7A7064E0,00-1F-7A-70-64-E0,null," "," "," ",118.13526,24.71718,null," ",156213909700195912,20190703,0
DA-A1-19-88-27-12," ",35021221360001,,,1562139929,-87,null," "," ",671153497001F7A7064E0,00-1F-7A-70-64-E0,null," "," "," ",118.13526,24.71718,null," ",156213909700196913,20190703,0
DA-A1-19-8B-30-6D," ",35021221360001,,,1562139930,-92,null," "," ",671153497001F7A7064E0,00-1F-7A-70-64-E0,null," "," "," ",118.13526,24.71718,null," ",156213909700197914,20190703,0
9A-D3-48-7D-80-F0," ",35021221360001,,,1562139907,-96,null," "," ",671153497001F7A7064E0,00-1F-7A-70-64-E0,null," "," "," ",118.13526,24.71718,null," ",156213909700198915,20190703,0
C8-EE-A6-34-D0-41," ",35021221360001,,,1562139907,-91,null," "," ",671153497001F7A7064E0,00-1F-7A-70-64-E0,null," "," "," ",118.13526,24.71718,null," ",156213909700199916,20190703,0
06-52-13-C3-45-EA," ",35021221360001,,,1562139918,-97,null," "," ",671153497001F7A7064E0,00-1F-7A-70-64-E0,null," "," "," ",118.13526,24.71718,null," ",156213909700200917,20190703,0
46-16-F3-3B-8C-01," ",35021221360001,,,1562139946,-96,null," "," ",671153497001F7A7064E0,00-1F-7A-70-64-E0,null," "," "," ",118.13526,24.71718,null," ",156213909700201918,20190703,0
BC-25-E0-56-CB-04," ",35021221360001,,,1562139889,-79,null," "," ",671153497001F7A7064E0,00-1F-7A-70-64-E0,null," "," "," ",118.13526,24.71718,null," ",156213909700202919,20190703,0
00-08-22-D9-03-FD," ",35021221360001,,,1562139916,-85,null," "," ",671153497001F7A7064E0,00-1F-7A-70-64-E0,null," "," "," ",118.13526,24.71718,null," ",156213909700203920,20190703,0
10-9E-3A-8D-47-BE," ",35021221360001,,,1562139926,-87,null," "," ",671153497001F7A7064E0,00-1F-7A-70-64-E0,null," "," "," ",118.13526,24.71718,null," ",156213909700204921,20190703,0
